Designator,LCSC,Mfr,MPN,Package,Life_3yr,Note
U1,C529329,STMicroelectronics,STM32G030C8T6,LQFP-48,-40..85C,Genuine ST. Already mid for LQFP48 MCU — do not swap to clone.
U2,C15051,Monolithic Power Systems,MP1584EN-LF-Z,SOIC-8-EP,-20..85C,Keep MPS 1.5MHz pin-correct. SOIC-8-EP on PCB. EN floating (abs max 6V). R_FREQ 100k sets ~0.9 MHz.
U5,C84681,WCH,CH340C,SOP-16,-20..70C,Genuine WCH. Same CH340C as C7464026 but cheaper listing.
U6,C6186,Advanced Monolithic Systems,AMS1117-3.3,SOT-223,Tj 125C,JLC Basic. Already mid.
U44,C114603,Lite-On,LTV-817S-TA1-D,SOP-4,Viso 5kV,Lite-On mid PC817-class. $0.07 — not premium.
U45,C114603,Lite-On,LTV-817S-TA1-D,SOP-4,Viso 5kV,Same as U44
U46,C114603,Lite-On,LTV-817S-TA1-D,SOP-4,Viso 5kV,Same as U44
U47,C114603,Lite-On,LTV-817S-TA1-D,SOP-4,Viso 5kV,Same as U44
Y1,C9002,YXC,X322512MSB4SI,3225-4P,-40..85C 10ppm,JLC Basic 12MHz.
J_USB,C132560,Molex,473460001,Micro-B SMT,5000 mate,Genuine Molex 47346. 5 signal + 2 shell — matches USB_MicroB footprint.
SW_BOOT,C271750,Omron Electronics,B3FS-1000P,6.3x6 SMT,-25..70C,Genuine Omron 6x6. Cheaper than Panasonic EVQ-P1, same pad family.
SW_NRST,C271750,Omron Electronics,B3FS-1000P,6.3x6 SMT,-25..70C,Same as SW_BOOT
L1,C87982,Sunlord,SWPA6040S100MT,6x6 10uH,2.45A Isat,Mid 6x6 10uH 2.45A — matches footprint.
D1,C315992,Littelfuse,SMBJ26A,SMB,600W -65..150C,Genuine Littelfuse. 26V/42.1V 600W SMB.
D5,C83333,Littelfuse,SMBJ5.0A,SMB,600W -65..150C,Genuine Littelfuse. 5V/9.2V 600W SMB.
D3,C2903855,LGE,SS54,SMA,5A 40V,Genuine LGE (Taiwan) SS54 SMA. ON/Vishay SS54 are SMC — do not fit SMA pads.
D4,C2903855,LGE,SS54,SMA,5A 40V,Same LGE SS54 as D3.
PTC_MOT,C142747,Littelfuse,1812L110/33MR,1812,33V 1.1A,Genuine Littelfuse 33V 1.1A. Do not use 16V PTC on 24V.
PTC_MOT2,C142747,Littelfuse,1812L110/33MR,1812,33V 1.1A,Same as PTC_MOT
